mtype,tokens,type_tokens,labels,labels_str
FUNC,"['f', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']","[14, 5, 140]","['algebra-precalculus', 'functions', 'functional-equations']"
SCAL,"['a', '^', '{', 'm', '/', 'n', '}']","['exp', '__ANON_1', 'CARET', 'L_BRACE', 'mp', '__ANON_1', 'DIV', '__ANON_1', 'R_BRACE']",[14],['algebra-precalculus']
SCAL,"['a', '^', '{', '1', '/', 'n', '}']","['exp', '__ANON_1', 'CARET', 'L_BRACE', 'mp', 'expr_atom', '__ANON_3', 'DIV', '__ANON_1', 'R_BRACE']",[14],['algebra-precalculus']
SCAL,"['a', '^', '{', 'n', '}']","['exp', '__ANON_1', 'CARET', 'L_BRACE', '__ANON_1', 'R_BRACE']",[14],['algebra-precalculus']
FUNC,"['f', ':', '\\mathbb{N}', '\\to', '\\mathbb{N}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']","[14, 5]","['algebra-precalculus', 'functions']"
SCAL,"['2', '^', '{', '1', '0', '0', '}', '\\cdot', '5', '^', '{', '7', '5', '}']","['mp', 'exp', 'expr_atom', '__ANON_3', 'CARET', 'L_BRACE', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', 'R_BRACE', 'CMD_CDOT', 'exp', 'expr_atom', '__ANON_3', 'CARET', 'L_BRACE', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'R_BRACE']",[14],['algebra-precalculus']
SCAL,"['3', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","[14, 68]","['algebra-precalculus', 'number-theory']"
SCAL,"['6', '^', 'n']","['exp', 'expr_atom', '__ANON_3', 'CARET', '__ANON_1']","[14, 11]","['algebra-precalculus', 'induction']"
FUNC,"['f', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']","[14, 44, 140]","['algebra-precalculus', 'limits', 'functional-equations']"
SCAL,"['\\frac', '{', 'b', '(', '-', 'a', '+', 'b', ')', '+', 'a', '(', 'a', '-', 'b', ')', '}', '{', '(', 'a', '-', 'b', ')', '(', '-', 'a', '+', 'b', ')', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'additive', 'unary', '__ANON_1', 'group', 'L_PAREN', 'additive', 'unary', 'SUB', '__ANON_1', 'ADD', '__ANON_1', 'R_PAREN', 'ADD', 'unary', '__ANON_1', 'group', 'L_PAREN', 'additive', '__ANON_1', 'SUB', '__ANON_1', 'R_PAREN', 'R_BRACE', 'L_BRACE', 'unary', 'group', 'L_PAREN', 'additive', '__ANON_1', 'SUB', '__ANON_1', 'R_PAREN', 'group', 'L_PAREN', 'additive', 'unary', 'SUB', '__ANON_1', 'ADD', '__ANON_1', 'R_PAREN', 'R_BRACE']",[14],['algebra-precalculus']
SCAL,"['-', 'a']","['unary', 'SUB', '__ANON_1']","[58, 14, 78]","['abstract-algebra', 'algebra-precalculus', 'arithmetic']"
SCAL,"['n', 'a', 't', 'u', 'r', 'a', 'l']","['unary', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1']","[32, 14]","['calculus', 'algebra-precalculus']"
SET,"['\\{', 'a', ',', 'b', ',', 'c', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'R_BRACE_LITERAL']","[14, 123]","['algebra-precalculus', 'polynomials']"
SCAL,"['1', '7']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']",[14],['algebra-precalculus']
SCAL,"['(', '-', '5', 'a', '-', '2', 'b', '-', '3', 'c', ')']","['group', 'L_PAREN', 'additive', 'additive', 'unary', 'SUB', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'SUB', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'SUB', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'R_PAREN']","[14, 78]","['algebra-precalculus', 'arithmetic']"
FUNC,"['f', '\\circ', 'g']","['func_composed', 'func_name', '__ANON_1', 'OP_FUNC_COMP', 'func_name', '__ANON_1']",[14],['algebra-precalculus']
SCAL,"['1', '0', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3']","[14, 17]","['algebra-precalculus', 'elementary-number-theory']"
SCAL,"['3', '0', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3']","[14, 17]","['algebra-precalculus', 'elementary-number-theory']"
SCAL,"['1', '4']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']",[14],['algebra-precalculus']
FUNC,"['f', '(', 'x', ')', '=', '2', '^', 'x', '+', 'x']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'exp', 'expr_atom', '__ANON_3', 'CARET', '__ANON_1', 'ADD', '__ANON_1']","[14, 8, 212]","['algebra-precalculus', 'discrete-mathematics', 'trigonometry']"
SCAL,"['n', '^', '2']","['exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3']","[14, 11]","['algebra-precalculus', 'induction']"
SCAL,"['\\frac', '{', 'n', '(', 'n', '+', '1', ')', '}', '{', '2', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'unary', '__ANON_1', 'group', 'L_PAREN', 'additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3', 'R_PAREN', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE']","[14, 17]","['algebra-precalculus', 'elementary-number-theory']"
FUNC,"['\\cos', ':', '\\mathbb', 'R', '\\to', '[', '-', '1', ',', '1', ']']","['func_def', 'FUNC_NORMAL', 'COLON', 'mapping', 'SET_FAT', '__ANON_0', 'TO', 'interval', 'L_BRACKET', 'expr_atom', 'SUB', '__ANON_3', 'COMMA', 'expr_atom', '__ANON_3', 'R_BRACKET']","[14, 5]","['algebra-precalculus', 'functions']"
FUNC,"['f', '(', 'x', ',', 'y', ')', '=', 'x', '^', 'y', '-', 'y', '^', 'x']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', '__ANON_1', 'COMMA', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'exp', '__ANON_1', 'CARET', '__ANON_1', 'SUB', 'exp', '__ANON_1', 'CARET', '__ANON_1']",[14],['algebra-precalculus']
FUNC,"['f', '\\colon', '\\mathbb', 'R', '^', '2', '\\to', '\\mathbb', 'R']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', 'SET_FAT', '__ANON_0', 'CARET', '__ANON_3', 'TO', 'SET_FAT', '__ANON_0']",[14],['algebra-precalculus']
SCAL,"['\\frac', '{', '7', 'x', '^', '2', '-', '3', 'x', '+', '4', '5', '}', '{', 'x', '^', '3', '+', '9', 'x', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'additive', 'additive', 'unary', 'expr_atom', '__ANON_3', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'SUB', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'ADD', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'R_BRACE', 'L_BRACE', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'R_BRACE']",[14],['algebra-precalculus']
SCAL,"['1', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']",[14],['algebra-precalculus']
SCAL,"['1', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","[32, 14]","['calculus', 'algebra-precalculus']"
SCAL,"['m', '-', '6']","['additive', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3']","[14, 68, 17, 177, 89]","['algebra-precalculus', 'number-theory', 'elementary-number-theory', 'modular-arithmetic', 'contest-math']"
SCAL,"['\\frac', '{', 'a', '^', '{', '-', '3', '}', '+', 'b', '^', '{', '-', '3', '}', '}', '{', 'a', '^', '{', '-', '2', '}', '-', 'b', '^', '{', '-', '2', '}', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'additive', 'exp', '__ANON_1', 'CARET', 'L_BRACE', 'unary', 'SUB', 'expr_atom', '__ANON_3', 'R_BRACE', 'ADD', 'exp', '__ANON_1', 'CARET', 'L_BRACE', 'unary', 'SUB', 'expr_atom', '__ANON_3', 'R_BRACE', 'R_BRACE', 'L_BRACE', 'additive', 'exp', '__ANON_1', 'CARET', 'L_BRACE', 'unary', 'SUB', 'expr_atom', '__ANON_3', 'R_BRACE', 'SUB', 'exp', '__ANON_1', 'CARET', 'L_BRACE', 'unary', 'SUB', 'expr_atom', '__ANON_3', 'R_BRACE', 'R_BRACE']",[14],['algebra-precalculus']
SCAL,"['a', 'c']","['unary', '__ANON_1', '__ANON_1']","[14, 123]","['algebra-precalculus', 'polynomials']"
FUNC,"['P', ':', '\\mathbb{R}', '\\rightarrow', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_0', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']","[14, 5, 140]","['algebra-precalculus', 'functions', 'functional-equations']"
FUNC,"['f', '(', 'x', ')', '=', 'a', '\\cdot', 'b', '^', 'x']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'mp', '__ANON_1', 'CMD_CDOT', 'exp', '__ANON_1', 'CARET', '__ANON_1']",[14],['algebra-precalculus']
SCAL,"['2', '2', '2', '2', '2', '2']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3']",[14],['algebra-precalculus']
FUNC,"['f', '(', 'x', ')', '=', 'x', '^', '2', '-', 'x']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'SUB', '__ANON_1']","[32, 14]","['calculus', 'algebra-precalculus']"
FUNC,"['P', '(', '0', ')', '=', '0']","['func_expr', 'func_name_arg', 'func_name', '__ANON_0', 'L_PAREN', 'func_arg', '__ANON_3', 'R_PAREN', 'EQUAL', 'expr_atom', '__ANON_3']","[14, 123]","['algebra-precalculus', 'polynomials']"
FUNC,"['f', '(', 'x', ')', '=', '\\frac', '{', 'e', '^', '{', '2', 'x', '}', '+', '1', '}', '{', 'e', '^', '{', '2', 'x', '}', '-', '1', '}']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'additive', 'exp', '__ANON_1', 'CARET', 'L_BRACE', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'R_BRACE', 'ADD', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'additive', 'exp', '__ANON_1', 'CARET', 'L_BRACE', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'R_BRACE', 'SUB', 'expr_atom', '__ANON_3', 'R_BRACE']",[14],['algebra-precalculus']
FUNC,"['f', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']",[14],['algebra-precalculus']
SCAL,"['\\frac', '{', '1', '}', '{', 'i', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', '__ANON_1', 'R_BRACE']","[14, 64]","['algebra-precalculus', 'complex-numbers']"
SCAL,"['\\frac', '{', '4', '}', '{', 'x', '^', '2', '(', 'x', '^', '2', '+', '4', ')', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'unary', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'group', 'L_PAREN', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'expr_atom', '__ANON_3', 'R_PAREN', 'R_BRACE']",[14],['algebra-precalculus']
FUNC,"['f', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']","[14, 140]","['algebra-precalculus', 'functional-equations']"
FUNC,"['f', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']","[14, 140]","['algebra-precalculus', 'functional-equations']"
SCAL,"['8', 'x', '^', '2', '-', '2', 'x', '+', '5']","['additive', 'additive', 'unary', 'expr_atom', '__ANON_3', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'SUB', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3']",[14],['algebra-precalculus']
SCAL,"['x', '^', '{', '3', '}', '-', 'x', '-', '1']","['additive', 'additive', 'exp', '__ANON_1', 'CARET', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'SUB', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3']",[14],['algebra-precalculus']
SCAL,"['r', '+', 's', 'i']","['additive', '__ANON_1', 'ADD', 'unary', '__ANON_1', '__ANON_1']","[14, 89]","['algebra-precalculus', 'contest-math']"
SCAL,"['r', '+', 's', 'i']","['additive', '__ANON_1', 'ADD', 'unary', '__ANON_1', '__ANON_1']","[14, 89]","['algebra-precalculus', 'contest-math']"
SCAL,"['x', '-', '2']","['additive', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3']","[14, 29, 78]","['algebra-precalculus', 'definition', 'arithmetic']"
SCAL,"['x', '-', '2']","['additive', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3']","[14, 29, 78]","['algebra-precalculus', 'definition', 'arithmetic']"
SCAL,"['0', '+', '0', 'i']","['additive', 'expr_atom', '__ANON_3', 'ADD', 'unary', 'expr_atom', '__ANON_3', '__ANON_1']","[14, 95, 64]","['algebra-precalculus', 'geometry', 'complex-numbers']"
FUNC,"['f', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']","[14, 5]","['algebra-precalculus', 'functions']"
FUNC,"['f', '(', 'x', ',', 'y', ')', '=', 'x', 'y', '(', '7', '2', '-', '3', 'x', '-', '4', 'y', ')']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', '__ANON_1', 'COMMA', '__ANON_1', 'R_PAREN', 'EQUAL', 'unary', '__ANON_1', '__ANON_1', 'group', 'L_PAREN', 'additive', 'additive', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'SUB', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'SUB', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'R_PAREN']","[32, 14]","['calculus', 'algebra-precalculus']"
FUNC,"['h', '(', 'x', ')', '=', 'x', '+', '1']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3']","[14, 5]","['algebra-precalculus', 'functions']"
SCAL,"['a', '^', '4', '+', '4']","['additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'expr_atom', '__ANON_3']",[14],['algebra-precalculus']
SCAL,"['\\frac', '{', 'x', '^', '3', '-', 'x', '^', '2', '+', '5', 'x', '-', '1', '}', '{', '2', 'x', '^', '2', '+', 'x', '-', '6', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'additive', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'SUB', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'additive', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'additive', 'unary', 'expr_atom', '__ANON_3', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'additive', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3', 'R_BRACE']",[14],['algebra-precalculus']
SCAL,"['x', '^', 'n']","['exp', '__ANON_1', 'CARET', '__ANON_1']","[14, 64]","['algebra-precalculus', 'complex-numbers']"
FUNC,"['f', '(', 'x', ')', '=', '[', '(', 'x', '+', '2', ')', '^', 'n', '-', '(', 'x', '+', '1', ')', '^', 'n', '+', '1', ']', '(', '1', '-', 'x', ')', '^', 'n', '-', '2', '^', 'n']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'unary', 'group', 'L_BRACKET', 'additive', 'additive', 'exp', 'group', 'L_PAREN', 'additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3', 'R_PAREN', 'CARET', '__ANON_1', 'SUB', 'exp', 'group', 'L_PAREN', 'additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3', 'R_PAREN', 'CARET', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3', 'R_BRACKET', 'exp', 'group', 'L_PAREN', 'additive', 'expr_atom', '__ANON_3', 'SUB', '__ANON_1', 'R_PAREN', 'CARET', '__ANON_1', 'SUB', 'exp', 'expr_atom', '__ANON_3', 'CARET', '__ANON_1']","[14, 5, 123]","['algebra-precalculus', 'functions', 'polynomials']"
FUNC,"['f', ':', '\\mathbb{R}', '\\times', '\\mathbb{R}', '\\to', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', 'set_constant', 'SET_BASIC', 'sets__OP_CART', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']",[14],['algebra-precalculus']
SCAL,"['3', 'k']","['unary', 'expr_atom', '__ANON_3', '__ANON_1']","[14, 5]","['algebra-precalculus', 'functions']"
SCAL,"['x', '^', '2', '-']","['additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'SUB', 'expr_atom', 'number']",[14],['algebra-precalculus']
SCAL,"['-', '2']","['unary', 'SUB', 'expr_atom', '__ANON_3']",[14],['algebra-precalculus']
FUNC,"['f', '(', 'x', ')', '=', '(', '5', '7', '-', 'x', ')', '^', '{', '1', '/', '4', '}', '+', '(', 'x', '+', '4', '0', ')', '^', '{', '1', '/', '4', '}']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'exp', 'group', 'L_PAREN', 'additive', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'SUB', '__ANON_1', 'R_PAREN', 'CARET', 'L_BRACE', 'mp', 'expr_atom', '__ANON_3', 'DIV', 'expr_atom', '__ANON_3', 'R_BRACE', 'ADD', 'exp', 'group', 'L_PAREN', 'additive', '__ANON_1', 'ADD', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'R_PAREN', 'CARET', 'L_BRACE', 'mp', 'expr_atom', '__ANON_3', 'DIV', 'expr_atom', '__ANON_3', 'R_BRACE']","[14, 123]","['algebra-precalculus', 'polynomials']"
FUNC,"['f', '(', 'x', ')', '=', 'x']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', '__ANON_1']","[14, 163]","['algebra-precalculus', 'recreational-mathematics']"
FUNC,"['f', '(', 'x', ')', '=', '\\frac', '{', 'x', '^', '3', '+', '3', 'x', '+', '1', '}', '{', '1', '0', '-', 'x', '^', '3', '}']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'additive', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'additive', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'SUB', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'R_BRACE']","[14, 168]","['algebra-precalculus', 'inequality']"
FUNC,"['f', '(', 'b', ')', '=', 'x']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', '__ANON_1']","[14, 212]","['algebra-precalculus', 'trigonometry']"
SCAL,"['1', '5', '^', '{', '\\frac', '{', '1', '}', '{', '2', '0', '}', '}']","['exp', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'CARET', 'L_BRACE', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'R_BRACE', 'R_BRACE']","[14, 168, 78]","['algebra-precalculus', 'inequality', 'arithmetic']"
SCAL,"['2', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']",[14],['algebra-precalculus']
SCAL,"['(', 'x', '+', 'y', ')']","['group', 'L_PAREN', 'additive', '__ANON_1', 'ADD', '__ANON_1', 'R_PAREN']","[14, 168]","['algebra-precalculus', 'inequality']"
FUNC,"['y', '(', 'x', ')', '=', '1', '/', '(', '1', '/', 'x', ')']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'mp', 'expr_atom', '__ANON_3', 'DIV', 'group', 'L_PAREN', 'mp', 'expr_atom', '__ANON_3', 'DIV', '__ANON_1', 'R_PAREN']","[14, 44]","['algebra-precalculus', 'limits']"
SCAL,"['\\frac', '{', 'c', '}', '{', 'b', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', '__ANON_1', 'R_BRACE', 'L_BRACE', '__ANON_1', 'R_BRACE']",[14],['algebra-precalculus']
FUNC,"['f', '(', 'x', ',', 'y', ')', '=', 'a', 'x', '+', 'b', 'y']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', '__ANON_1', 'COMMA', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'unary', '__ANON_1', '__ANON_1', 'ADD', 'unary', '__ANON_1', '__ANON_1']",[14],['algebra-precalculus']
SCAL,"['g', '(', 'x', ')']","['unary', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']","[14, 95, 307]","['algebra-precalculus', 'geometry', 'analytic-geometry']"
SCAL,"['a', '/', 'b']","['mp', '__ANON_1', 'DIV', '__ANON_1']",[14],['algebra-precalculus']
SCAL,"['x', '-', '3']","['additive', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3']",[14],['algebra-precalculus']
SCAL,"['x', '+', 'y']","['additive', '__ANON_1', 'ADD', '__ANON_1']","[14, 212, 168, 89]","['algebra-precalculus', 'trigonometry', 'inequality', 'contest-math']"
SCAL,"['8', '0', '6', '8']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3']","[14, 89]","['algebra-precalculus', 'contest-math']"
SCAL,"['2', '^', '{', '2', '^', 'k', '}', '+', '1', '^', '{', '2', '^', 'k', '}']","['additive', 'exp', 'expr_atom', '__ANON_3', 'CARET', 'L_BRACE', 'exp', 'expr_atom', '__ANON_3', 'CARET', '__ANON_1', 'R_BRACE', 'ADD', 'exp', 'expr_atom', '__ANON_3', 'CARET', 'L_BRACE', 'exp', 'expr_atom', '__ANON_3', 'CARET', '__ANON_1', 'R_BRACE']",[14],['algebra-precalculus']
SCAL,"['\\binom', '{', 'n', '}', '{', 'k', '}']","['expr_atom', 'CMD_BINOM', 'L_BRACE', '__ANON_1', 'R_BRACE', 'L_BRACE', '__ANON_1', 'R_BRACE']","[30, 14]","['combinatorics', 'algebra-precalculus']"
FUNC,"['f', ':', '\\mathbb', 'R', '\\rightarrow', '\\mathbb', 'R']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'SET_FAT', '__ANON_0', 'TO', 'SET_FAT', '__ANON_0']","[14, 5]","['algebra-precalculus', 'functions']"
SCAL,"['-', '2']","['unary', 'SUB', 'expr_atom', '__ANON_3']","[14, 29]","['algebra-precalculus', 'definition']"
FUNC,"['f', ':', '\\mathbb', 'R', '\\rightarrow', '\\mathbb', 'R']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'SET_FAT', '__ANON_0', 'TO', 'SET_FAT', '__ANON_0']","[14, 123, 29]","['algebra-precalculus', 'polynomials', 'definition']"
FUNC,"['f', '(', 'x', ')', '=', 's', 'i', 'n', 'x']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'unary', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1']","[32, 14]","['calculus', 'algebra-precalculus']"
FUNC,"['P', '(', 'x', ')', '=', '5', 'x', '^', '2', '-', '2', 'x', '+', '1']","['func_expr', 'func_name_arg', 'func_name', '__ANON_0', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'additive', 'unary', 'expr_atom', '__ANON_3', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'SUB', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3']","[14, 5, 123, 29]","['algebra-precalculus', 'functions', 'polynomials', 'definition']"
SCAL,"['a', '+', 'b']","['additive', '__ANON_1', 'ADD', '__ANON_1']","[14, 17]","['algebra-precalculus', 'elementary-number-theory']"
FUNC,"['f', '(', 'a', ',', 'b', ',', 'c', ')', '=', 'a', '^', '2', 'b', '+', 'b', '^', '2', 'c', '+', 'c', '^', '2', 'a']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', '__ANON_1', 'COMMA', '__ANON_1', 'COMMA', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'unary', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', '__ANON_1', 'ADD', 'additive', 'unary', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', '__ANON_1', 'ADD', 'unary', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', '__ANON_1']","[32, 30, 14, 168, 89]","['calculus', 'combinatorics', 'algebra-precalculus', 'inequality', 'contest-math']"
SCAL,"['-', '\\frac', '{', 'a', '}', '{', 'b', '}']","['unary', 'SUB', 'expr_atom', 'CMD_FRAC', 'L_BRACE', '__ANON_1', 'R_BRACE', 'L_BRACE', '__ANON_1', 'R_BRACE']",[14],['algebra-precalculus']
SCAL,"['1', '6']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","[14, 168]","['algebra-precalculus', 'inequality']"
SCAL,"['1', '6']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","[14, 168]","['algebra-precalculus', 'inequality']"
