fid,mtype,exprstr,mention,tokens,type_tokens,tags
632fb8e6837ac920af6c18f5_f_1_0_0,SCAL,0,the maximal number,0,"['expr_atom', '__ANON_3']","['geometry', 'euclidean-geometry']"
632fb8e7837ac920af6c1a98_f_0_2_0,FUNC,f : D \to \mathbb{R},a mapping   f_0_2_0,"['f', ':', 'D', '\\to', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', 'set_constant', 'SET_BASIC']","['convex-analysis', 'euclidean-geometry']"
632ff013837ac920af70d9be_f_0_1_0,FUNC,f:U \to U,a smooth map,"['f', ':', 'U', '\\to', 'U']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","['real-analysis', 'multivariable-calculus', 'euclidean-geometry', 'area', 'affine-geometry']"
632f8a00837ac920af675ef8_f_0_0_0,SCAL,30 ,all possible numbers,"['3', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['geometry', 'euclidean-geometry', 'triangles', 'area']"
632f8a00837ac920af675ffb_f_0_9_0,SCAL,1,an eigenvalue,1,"['expr_atom', '__ANON_3']","['geometry', 'euclidean-geometry', 'isometry']"
632f8a03837ac920af6773b7_f_0_0_0,FUNC,y,a linear function,['y'],"['func_name', '__ANON_1']","['calculus', 'real-analysis', 'geometry', 'euclidean-geometry', 'real-numbers']"
632f8a03837ac920af6773b7_f_1_0_0,FUNC,y(x)=ax+b,a linear function,"['y', '(', 'x', ')', '=', 'a', 'x', '+', 'b']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'unary', '__ANON_1', '__ANON_1', 'ADD', '__ANON_1']","['calculus', 'real-analysis', 'geometry', 'euclidean-geometry', 'real-numbers']"
632f8a07837ac920af678db3_f_2_5_0,SCAL,\frac{p}{a},the numbers,"['\\frac', '{', 'p', '}', '{', 'a', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', '__ANON_1', 'R_BRACE', 'L_BRACE', '__ANON_1', 'R_BRACE']","['geometry', 'euclidean-geometry', '3d', 'polyhedra']"
63300bcb837ac920af744e5b_f_0_2_0,SCAL,1 ,different values,1,"['expr_atom', '__ANON_3']",['euclidean-geometry']
632f8a08837ac920af679719_f_0_7_0,FUNC,g,a function,['g'],"['func_name', '__ANON_1']","['real-analysis', 'geometry', 'functional-analysis', 'analysis', 'euclidean-geometry']"
632f8a0b837ac920af67a6d2_f_2_109_0,FUNC,f,the identity mapping,['f'],"['func_name', '__ANON_1']","['geometry', 'reference-request', 'euclidean-geometry', 'projective-geometry', 'noneuclidean-geometry']"
632f8a0b837ac920af67a6d2_f_2_113_0,FUNC,f,The mapping   f_2_113_0,['f'],"['func_name', '__ANON_1']","['geometry', 'reference-request', 'euclidean-geometry', 'projective-geometry', 'noneuclidean-geometry']"
632f8a0b837ac920af67a6d2_f_2_115_0,FUNC,f,the mapping   f_2_115_0,['f'],"['func_name', '__ANON_1']","['geometry', 'reference-request', 'euclidean-geometry', 'projective-geometry', 'noneuclidean-geometry']"
632f8a0b837ac920af67a6d2_f_2_117_0,FUNC,h,the bijection,['h'],"['func_name', '__ANON_1']","['geometry', 'reference-request', 'euclidean-geometry', 'projective-geometry', 'noneuclidean-geometry']"
63300bce837ac920af745f81_f_0_2_0,FUNC,f,a bijective function   f_0_2_0,['f'],"['func_name', '__ANON_1']",['euclidean-geometry']
632f8a0c837ac920af67aeed_f_1_22_0,SET,"\{2,3\}",set,"['\\{', '2', ',', '3', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'R_BRACE_LITERAL']","['geometry', 'elementary-set-theory', 'euclidean-geometry']"
632f8a0c837ac920af67aeed_f_1_23_0,SET,"\{1,2,3\}",the set   f_1_23_0,"['\\{', '1', ',', '2', ',', '3', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'R_BRACE_LITERAL']","['geometry', 'elementary-set-theory', 'euclidean-geometry']"
632f8a0c837ac920af67aeed_f_1_25_0,SET,"\{1,3\}",the sets,"['\\{', '1', ',', '3', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'R_BRACE_LITERAL']","['geometry', 'elementary-set-theory', 'euclidean-geometry']"
632f8a0c837ac920af67aeed_f_1_33_0,SET,\{1\},a subset,"['\\{', '1', '\\}']","['explset', 'L_BRACE_LITERAL', 'item', '__ANON_3', 'R_BRACE_LITERAL']","['geometry', 'elementary-set-theory', 'euclidean-geometry']"
632ff017837ac920af70f2fc_f_0_4_0,SCAL,1,any real number,1,"['expr_atom', '__ANON_3']","['geometry', 'proof-explanation', 'euclidean-geometry', 'triangles']"
632fbf51837ac920af6c49ba_f_0_19_0,FUNC,x,f_0_18_0   quadratic function,['x'],"['func_name', '__ANON_1']","['geometry', 'trigonometry', 'euclidean-geometry', 'alternative-proof', 'transformational-geometry']"
632fbf52837ac920af6c4dd9_f_0_14_0,FUNC,X,maps,['X'],"['func_name', '__ANON_0']","['real-analysis', 'differential-geometry', 'euclidean-geometry', 'lebesgue-integral', 'geometric-measure-theory']"
63300bd0837ac920af746e20_f_1_1_0,FUNC,Q:\mathbb{R}^3 \to \mathbb{R}^3,an orthogonal map   f_1_1_0,"['Q', ':', '\\mathbb{R}', '^', '3', '\\to', '\\mathbb{R}', '^', '3']","['func_def', 'func_name', '__ANON_0', 'COLON', 'mapping', 'set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3', 'TO', 'set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']","['euclidean-geometry', 'alternative-proof', 'symmetry', 'solid-geometry', 'platonic-solids']"
63300bd1837ac920af746eef_f_0_31_0,SCAL,r^2,constant,"['r', '^', '2']","['exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3']","['geometry', 'euclidean-geometry', 'coordinate-systems', 'locus']"
63300bd1837ac920af7473a8_f_1_0_0,SET,E(n),just the set,"['E', '(', 'n', ')']","['__ANON_0', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']","['group-theory', 'geometry', 'euclidean-geometry', 'isometry', 'orthogonal-matrices']"
63300bd1837ac920af7473a8_f_1_80_0,FUNC,g,a linear map,['g'],"['func_name', '__ANON_1']","['group-theory', 'geometry', 'euclidean-geometry', 'isometry', 'orthogonal-matrices']"
63300bd2837ac920af74750d_f_0_9_0,SCAL,1,an eigenvalue,1,"['expr_atom', '__ANON_3']","['geometry', 'euclidean-geometry', 'isometry']"
632ff019837ac920af70feee_f_1_3_0,SCAL,n/k,a rational number   f_1_3_0,"['n', '/', 'k']","['mp', '__ANON_1', 'DIV', '__ANON_1']","['geometry', 'euclidean-geometry']"
63300bd3837ac920af747c7c_f_0_9_0,FUNC,T,a bijection,['T'],"['func_name', '__ANON_0']","['linear-algebra', 'abstract-algebra', 'euclidean-geometry', 'inner-products', 'isometry']"
63300bd3837ac920af747c7c_f_0_27_0,FUNC,T,a bijection,['T'],"['func_name', '__ANON_0']","['linear-algebra', 'abstract-algebra', 'euclidean-geometry', 'inner-products', 'isometry']"
63300bd5837ac920af74894f_f_0_0_0,FUNC,f: \mathbb{R} \rightarrow \mathbb{R},a function,"['f', ':', '\\mathbb{R}', '\\rightarrow', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']","['functions', 'euclidean-geometry']"
632ff01a837ac920af7106ee_f_2_12_0,SCAL,1/2,every value,"['1', '/', '2']","['mp', 'expr_atom', '__ANON_3', 'DIV', 'expr_atom', '__ANON_3']","['euclidean-geometry', 'triangles', 'area']"
63300bd5837ac920af748d11_f_0_3_0,FUNC,f : M\to N,-Lipschitz,"['f', ':', 'M', '\\to', 'N']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","['metric-spaces', 'euclidean-geometry']"
63300bd5837ac920af748d11_f_0_7_0,FUNC,f: M\to N,an   f_0_6_0 -Lipschitz function,"['f', ':', 'M', '\\to', 'N']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","['metric-spaces', 'euclidean-geometry']"
633012af837ac920af749600_f_0_0_0,SET,N+1,a set,"['N', '+', '1']","['__ANON_0', 'expr_atom', 'ADD', '__ANON_3']","['permutations', 'euclidean-geometry', 'conic-sections', 'symmetry']"
633012b0837ac920af74965f_f_0_2_0,SCAL,1 ,  alt=   f_0_1_0 cells   f_0_2_0 place value,1,"['expr_atom', '__ANON_3']","['geometry', 'euclidean-geometry', 'number-systems']"
632fbf58837ac920af6c7c1b_f_1_2_0,SCAL,90,the value   f_1_2_0,"['9', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['linear-algebra', 'geometry', 'euclidean-geometry', 'analytic-geometry']"
632fbf58837ac920af6c7c1b_f_4_6_0,FUNC,s,functions,['s'],"['func_name', '__ANON_1']","['linear-algebra', 'geometry', 'euclidean-geometry', 'analytic-geometry']"
632fbf58837ac920af6c7c1b_f_4_15_0,FUNC,c,the functions,['c'],"['func_name', '__ANON_1']","['linear-algebra', 'geometry', 'euclidean-geometry', 'analytic-geometry']"
632ff01c837ac920af711652_f_0_0_0,FUNC,F:\mathbb{R}^2\to\mathbb{R}^2,a function,"['F', ':', '\\mathbb{R}', '^', '2', '\\to', '\\mathbb{R}', '^', '2']","['func_def', 'func_name', '__ANON_0', 'COLON', 'mapping', 'set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3', 'TO', 'set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']","['geometry', 'inequality', 'euclidean-geometry', 'functional-equations', 'functional-inequalities']"
633012bc837ac920af74a1bc_f_0_5_0,SCAL,1\times1,Then not the number,"['1', '\\times', '1']","['mp', 'expr_atom', '__ANON_3', 'CMD_TIMES', 'expr_atom', '__ANON_3']","['geometry', 'euclidean-geometry']"
632f907c837ac920af67fc12_f_1_4_0,FUNC,f : \mathbb{R}^3 \to \mathbb{R}^3,the map,"['f', ':', '\\mathbb{R}', '^', '3', '\\to', '\\mathbb{R}', '^', '3']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3', 'TO', 'set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']","['linear-algebra', 'euclidean-geometry', 'riemannian-geometry', 'orthogonal-matrices']"
632f907e837ac920af68075f_f_1_12_0,SCAL,\dfrac{239}{169},the rational number,"['\\dfrac', '{', '2', '3', '9', '}', '{', '1', '6', '9', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', 'R_BRACE']",['euclidean-geometry']
632fbf5b837ac920af6c8fb8_f_0_12_0,FUNC,M,a homogeneous function,['M'],"['func_name', '__ANON_0']","['geometry', 'inequality', 'euclidean-geometry', 'geometric-inequalities']"
632ff01e837ac920af7120ec_f_0_3_0,SCAL,3,the numbers,3,"['expr_atom', '__ANON_3']","['geometry', 'euclidean-geometry', 'ratio', 'arithmetic-progressions', 'solid-geometry']"
632ff01e837ac920af71217a_f_1_1_0,FUNC,h,a smooth mapping,['h'],"['func_name', '__ANON_1']","['geometry', 'metric-spaces', 'euclidean-geometry', 'transformation']"
632fbf5d837ac920af6c9beb_f_0_0_0,SCAL,2 ,a scalar number,2,"['expr_atom', '__ANON_3']","['linear-algebra', 'euclidean-geometry']"
633012c9837ac920af74f8d7_f_0_0_0,FUNC,f,the following function,['f'],"['func_name', '__ANON_1']","['geometry', 'multivariable-calculus', 'euclidean-geometry']"
633012ca837ac920af750015_f_5_13_0,SCAL,2n+1,the lowest number,"['2', 'n', '+', '1']","['additive', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3']","['geometry', 'number-theory', 'soft-question', 'euclidean-geometry']"
632fbf5f837ac920af6ca91a_f_3_19_0,FUNC,q,function,['q'],"['func_name', '__ANON_1']","['geometry', 'optimization', 'euclidean-geometry', 'maxima-minima', 'geometric-inequalities']"
632fbf5f837ac920af6ca91a_f_3_47_0,FUNC,n,functions,['n'],"['func_name', '__ANON_1']","['geometry', 'optimization', 'euclidean-geometry', 'maxima-minima', 'geometric-inequalities']"
633012cd837ac920af7515aa_f_0_20_0,FUNC,s\colon M\to M,a function,"['s', '\\colon', 'M', '\\to', 'M']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","['metric-spaces', 'euclidean-geometry']"
633012cf837ac920af7523ae_f_0_0_0,SCAL,(n-2),the number,"['(', 'n', '-', '2', ')']","['group', 'L_PAREN', 'additive', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3', 'R_PAREN']","['geometry', 'euclidean-geometry', 'computational-geometry', 'dimension-theory-analysis', 'combinatorial-geometry']"
632fbf60837ac920af6cb1c3_f_0_0_0,FUNC,d,a function,['d'],"['func_name', '__ANON_1']","['general-topology', 'continuity', 'soft-question', 'euclidean-geometry']"
632f9086837ac920af6840a5_f_2_8_0,SCAL,6,the largest number,6,"['expr_atom', '__ANON_3']","['euclidean-geometry', 'polygons']"
632f9086837ac920af6840a5_f_2_13_0,SCAL,5,the largest number,5,"['expr_atom', '__ANON_3']","['euclidean-geometry', 'polygons']"
632ff021837ac920af713785_f_1_37_0,FUNC,W,  f_1_36_0   maps,['W'],"['func_name', '__ANON_0']","['geometry', 'euclidean-geometry', 'inversive-geometry']"
63301965837ac920af755479_f_0_5_0,SCAL,1,rational number,1,"['expr_atom', '__ANON_3']","['geometry', 'euclidean-geometry', 'triangles', 'rational-numbers']"
63301968837ac920af756608_f_0_6_0,SCAL,17,the first number,"['1', '7']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['geometry', 'euclidean-geometry', 'irrational-numbers']"
63301968837ac920af75668d_f_0_16_0,FUNC,f,some function   f_0_16_0,['f'],"['func_name', '__ANON_1']","['linear-algebra', 'euclidean-geometry']"
63301969837ac920af756fb1_f_0_0_0,SCAL,6 ,the number,6,"['expr_atom', '__ANON_3']","['graph-theory', 'euclidean-geometry', 'tiling']"
632ff028837ac920af716369_f_0_3_0,FUNC,f,an open function,['f'],"['func_name', '__ANON_1']","['general-topology', 'functions', 'solution-verification', 'euclidean-geometry']"
632ff028837ac920af716369_f_0_20_0,FUNC,f,an open function,['f'],"['func_name', '__ANON_1']","['general-topology', 'functions', 'solution-verification', 'euclidean-geometry']"
632ff028837ac920af716605_f_1_74_0,SCAL,(3),the values,"['(', '3', ')']","['group', 'L_PAREN', 'expr_atom', '__ANON_3', 'R_PAREN']","['euclidean-geometry', 'analytic-geometry']"
6330196f837ac920af759998_f_1_2_0,SCAL,f(x),the number,"['f', '(', 'x', ')']","['unary', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']","['euclidean-geometry', 'rectangles']"
632ff02a837ac920af7170af_f_0_2_0,SCAL,\frac{a}{b}+\frac{c}{d}+\frac{m}{n},the value,"['\\frac', '{', 'a', '}', '{', 'b', '}', '+', '\\frac', '{', 'c', '}', '{', 'd', '}', '+', '\\frac', '{', 'm', '}', '{', 'n', '}']","['additive', 'additive', 'expr_atom', 'CMD_FRAC', 'L_BRACE', '__ANON_1', 'R_BRACE', 'L_BRACE', '__ANON_1', 'R_BRACE', 'ADD', 'expr_atom', 'CMD_FRAC', 'L_BRACE', '__ANON_1', 'R_BRACE', 'L_BRACE', '__ANON_1', 'R_BRACE', 'ADD', 'expr_atom', 'CMD_FRAC', 'L_BRACE', '__ANON_1', 'R_BRACE', 'L_BRACE', '__ANON_1', 'R_BRACE']","['geometry', 'contest-math', 'euclidean-geometry', 'analytic-geometry']"
63301975837ac920af75c4f5_f_1_8_0,FUNC,T\circ R,the function,"['T', '\\circ', 'R']","['func_composed', 'func_name', '__ANON_0', 'OP_FUNC_COMP', 'func_name', '__ANON_0']","['geometry', 'euclidean-geometry']"
632fc622837ac920af6d088b_f_0_0_0,FUNC,f,Borel measurable function,['f'],"['func_name', '__ANON_1']","['measure-theory', 'elementary-set-theory', 'euclidean-geometry', 'borel-sets']"
632fc622837ac920af6d088b_f_0_13_0,FUNC,f,the function   f_0_13_0,['f'],"['func_name', '__ANON_1']","['measure-theory', 'elementary-set-theory', 'euclidean-geometry', 'borel-sets']"
632fc622837ac920af6d088b_f_0_30_0,FUNC,f,the function,['f'],"['func_name', '__ANON_1']","['measure-theory', 'elementary-set-theory', 'euclidean-geometry', 'borel-sets']"
632fc622837ac920af6d0bd0_f_0_0_0,SCAL,m^2 + 2m -1,only a finite number,"['m', '^', '2', '+', '2', 'm', '-', '1']","['additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'additive', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3']","['contest-math', 'euclidean-geometry']"
63301f95837ac920af75ed18_f_0_4_0,FUNC,f,a linear map,['f'],"['func_name', '__ANON_1']","['linear-algebra', 'euclidean-geometry', 'normed-spaces', 'inner-products']"
632ff6d3837ac920af718ff8_f_1_2_0,SCAL,-1,the signed value,"['-', '1']","['unary', 'SUB', 'expr_atom', '__ANON_3']","['geometry', 'euclidean-geometry']"
6330264a837ac920af76bd24_f_0_17_0,FUNC,f,the bijection,['f'],"['func_name', '__ANON_1']","['geometry', 'euclidean-geometry']"
63302652837ac920af76e646_f_1_10_0,FUNC,f:\mathbb R\to\mathbb R,"Then , the function","['f', ':', '\\mathbb', 'R', '\\to', '\\mathbb', 'R']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'SET_FAT', '__ANON_0', 'TO', 'SET_FAT', '__ANON_0']","['real-analysis', 'metric-spaces', 'euclidean-geometry']"
63302652837ac920af76e646_f_1_29_0,FUNC,f,the function,['f'],"['func_name', '__ANON_1']","['real-analysis', 'metric-spaces', 'euclidean-geometry']"
632fc62d837ac920af6d580c_f_0_7_0,SCAL,12 ,number,"['1', '2']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['complex-numbers', 'euclidean-geometry']"
63302658837ac920af770402_f_1_2_0,SCAL,f(x),real numbers,"['f', '(', 'x', ')']","['unary', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']","['geometry', 'euclidean-geometry', 'projective-geometry', 'projective-space']"
63302e00837ac920af771a3d_f_1_10_0,FUNC,f(x)=a-x,the map,"['f', '(', 'x', ')', '=', 'a', '-', 'x']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', '__ANON_1', 'SUB', '__ANON_1']","['proof-writing', 'euclidean-geometry']"
63302e02837ac920af77253b_f_1_0_0,FUNC,f:R\to R,a function,"['f', ':', 'R', '\\to', 'R']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","['proof-writing', 'euclidean-geometry']"
63302e03837ac920af772598_f_0_0_0,FUNC,f:R\to R,a function,"['f', ':', 'R', '\\to', 'R']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","['proof-verification', 'euclidean-geometry']"
632ff6dd837ac920af71d3d1_f_2_19_0,FUNC,f,no such function,['f'],"['func_name', '__ANON_1']","['real-analysis', 'general-topology', 'complex-analysis', 'continuity', 'euclidean-geometry']"
632ff6dd837ac920af71d519_f_1_0_0,SCAL,1,The number,1,"['expr_atom', '__ANON_3']","['real-analysis', 'calculus', 'geometry', 'euclidean-geometry', 'analytic-geometry']"
63302e0a837ac920af774d53_f_0_0_0,FUNC,f,a function,['f'],"['func_name', '__ANON_1']","['geometry', 'functions', 'euclidean-geometry']"
632ff6de837ac920af71d838_f_0_1_0,FUNC,f,  and some differentiable function   f_0_1_0,['f'],"['func_name', '__ANON_1']","['calculus', 'geometry', 'differential-geometry', 'euclidean-geometry']"
63302e0f837ac920af776a0a_f_0_0_0,SET,\mathbb{R},the set   f_0_0_0,\mathbb{R},"['set_constant', 'SET_BASIC']","['euclidean-geometry', 'real-numbers']"
632ff6df837ac920af71df8c_f_1_5_0,SCAL,4n+1,the number,"['4', 'n', '+', '1']","['additive', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3']","['number-theory', 'euclidean-geometry', 'triangles', 'diophantine-equations', 'pythagorean-triples']"
63302e15837ac920af778b81_f_2_0_0,FUNC,f:\mathbb R^n\times I\to \mathbb R^n,a continuous map,"['f', ':', '\\mathbb', 'R', '^', 'n', '\\times', 'I', '\\to', '\\mathbb', 'R', '^', 'n']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', 'SET_FAT', '__ANON_0', 'CARET', '__ANON_1', 'sets__OP_CART', '__ANON_0', 'TO', 'SET_FAT', '__ANON_0', 'CARET', '__ANON_1']","['manifolds', 'euclidean-geometry']"
63302e15837ac920af778b81_f_2_3_0,FUNC,f:S^{n}\times I\to S^{n},no similar map,"['f', ':', 'S', '^', '{', 'n', '}', '\\times', 'I', '\\to', 'S', '^', '{', 'n', '}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', '__ANON_0', 'CARET', 'L_BRACE', '__ANON_1', 'R_BRACE', 'sets__OP_CART', '__ANON_0', 'TO', '__ANON_0', 'CARET', 'L_BRACE', '__ANON_1', 'R_BRACE']","['manifolds', 'euclidean-geometry']"
632ff6e0837ac920af71e88d_f_1_0_0,FUNC,f,the map,['f'],"['func_name', '__ANON_1']","['geometry', 'euclidean-geometry', 'triangles', 'angle']"
632ff6e0837ac920af71e88d_f_1_3_0,FUNC,g,another map   f_1_3_0,['g'],"['func_name', '__ANON_1']","['geometry', 'euclidean-geometry', 'triangles', 'angle']"
632ff6e0837ac920af71e88d_f_1_7_0,FUNC,g,This map,['g'],"['func_name', '__ANON_1']","['geometry', 'euclidean-geometry', 'triangles', 'angle']"
632ff6e0837ac920af71ead5_f_1_0_0,SCAL,100,a certain number,"['1', '0', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3']","['geometry', 'euclidean-geometry']"
633035e7837ac920af77d0af_f_2_13_0,FUNC,f,function,['f'],"['func_name', '__ANON_1']",['euclidean-geometry']
633035e7837ac920af77d0af_f_2_34_0,FUNC,f,the function,['f'],"['func_name', '__ANON_1']",['euclidean-geometry']
633035ec837ac920af77ecd0_f_0_2_0,FUNC,s: E \rightarrow E,the mapping,"['s', ':', 'E', '\\rightarrow', 'E']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","['geometry', 'self-learning', 'euclidean-geometry', 'rotations', 'fixed-point-theorems']"
633035ec837ac920af77ecd0_f_0_4_0,FUNC,s,the mapping,['s'],"['func_name', '__ANON_1']","['geometry', 'self-learning', 'euclidean-geometry', 'rotations', 'fixed-point-theorems']"
633035ec837ac920af77ecd0_f_0_17_0,FUNC,s,the mapping   f_0_17_0,['s'],"['func_name', '__ANON_1']","['geometry', 'self-learning', 'euclidean-geometry', 'rotations', 'fixed-point-theorems']"
633035ec837ac920af77ecd0_f_0_22_0,FUNC,s,the mapping   f_0_22_0,['s'],"['func_name', '__ANON_1']","['geometry', 'self-learning', 'euclidean-geometry', 'rotations', 'fixed-point-theorems']"
633035ec837ac920af77eee8_f_0_7_0,FUNC,X,mapping,['X'],"['func_name', '__ANON_0']","['geometry', 'euclidean-geometry']"
633035ec837ac920af77eee8_f_0_9_0,FUNC,Y,mapping,['Y'],"['func_name', '__ANON_0']","['geometry', 'euclidean-geometry']"
633035ec837ac920af77eee8_f_1_11_0,FUNC,X,the only isometry mapping   f_1_11_0,['X'],"['func_name', '__ANON_0']","['geometry', 'euclidean-geometry']"
633035ed837ac920af77f379_f_1_10_0,SCAL,1,eigenvalues,1,"['expr_atom', '__ANON_3']","['geometry', 'euclidean-geometry', 'combinatorial-geometry']"
633035f0837ac920af77fff9_f_0_7_0,FUNC,X,mapping,['X'],"['func_name', '__ANON_0']","['geometry', 'euclidean-geometry']"
633035f0837ac920af77fff9_f_0_9_0,FUNC,Y,mapping,['Y'],"['func_name', '__ANON_0']","['geometry', 'euclidean-geometry']"
633035f0837ac920af77fff9_f_0_12_0,FUNC,X,mapping,['X'],"['func_name', '__ANON_0']","['geometry', 'euclidean-geometry']"
633035f0837ac920af77fff9_f_0_14_0,FUNC,Y,mapping,['Y'],"['func_name', '__ANON_0']","['geometry', 'euclidean-geometry']"
633035fd837ac920af783f6c_f_4_14_0,FUNC,h,the function,['h'],"['func_name', '__ANON_1']",['euclidean-geometry']
633035fe837ac920af784017_f_1_12_0,SCAL,n+1,this number,"['n', '+', '1']","['additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3']","['linear-algebra', 'euclidean-geometry']"
633035ff837ac920af7847f9_f_0_0_0,FUNC,F(x) = -0.007x^4 + 1.971x^3 - 190.4x^2 + 8150x - 13024,a function,"['F', '(', 'x', ')', '=', '-', 'x', '^', '4', '+', 'x', '^', '3', '-', 'x', '^', '2', '+', '8', '1', '5', '0', 'x', '-', '1', '3', '0', '2', '4']","['func_expr', 'func_name_arg', 'func_name', '__ANON_0', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'additive', 'unary', 'SUB', 'unary', 'expr_atom', 'number', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'additive', 'unary', 'expr_atom', 'number', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'SUB', 'unary', 'expr_atom', 'number', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'additive', 'unary', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_1', 'SUB', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3']","['geometry', 'euclidean-geometry']"
